charset,Shift_JIS
version,1
option,DisableNoDefineSurfaces

group,__disabled
{
1,__parts
}


//Miku通常サーフェス
group,Miku
{
scope,0
0,素
1,照れ
6,目閉じ
25,歌う
}



//他
group,Etc
{
10,無し
30,音符
}

group,Kasi
{
scope,0


//Miku歌詞カード用サーフェス

1000,手下ろし/素/1笑口閉じ
1001,手下ろし/素/2横長口(小
1002,手下ろし/素/3横長口(大
1003,手下ろし/素/4笑口開け(大
1004,手下ろし/素/5口開け(小
1005,手下ろし/素/6口閉じ(小
1006,手下ろし/素/7微笑口(極小
1007,手下ろし/素/8笑口開け(小
1008,手下ろし/素/9横長口(細
1009,手下ろし/素/10口開け
1010,手下ろし/細目/1笑口閉じ
1011,手下ろし/細目/2横長口(小
1012,手下ろし/細目/3横長口(大
1013,手下ろし/細目/4笑口開け(大
1014,手下ろし/細目/5口開け(小
1015,手下ろし/細目/6口閉じ(小
1016,手下ろし/細目/7微笑口(極小
1017,手下ろし/細目/8笑口開け(小
1018,手下ろし/細目/9横長口(細
1019,手下ろし/細目/10口開け
1020,手下ろし/極細目/1笑口閉じ
1021,手下ろし/極細目/2横長口(小
1022,手下ろし/極細目/3横長口(大
1023,手下ろし/極細目/4笑口開け(大
1024,手下ろし/極細目/5口開け(小
1025,手下ろし/極細目/6口閉じ(小
1026,手下ろし/極細目/7微笑口(極小
1027,手下ろし/極細目/8笑口開け(小
1028,手下ろし/極細目/9横長口(細
1029,手下ろし/極細目/10口開け
1030,手下ろし/笑顔/1笑口閉じ
1031,手下ろし/笑顔/2横長口(小
1032,手下ろし/笑顔/3横長口(大
1033,手下ろし/笑顔/4笑口開け(大
1034,手下ろし/笑顔/5口開け(小
1035,手下ろし/笑顔/6口閉じ(小
1036,手下ろし/笑顔/7微笑口(極小
1037,手下ろし/笑顔/8笑口開け(小
1038,手下ろし/笑顔/9横長口(細
1039,手下ろし/笑顔/10口開け
1040,手下ろし/閉じ/1笑口閉じ
1041,手下ろし/閉じ/2横長口(小
1042,手下ろし/閉じ/3横長口(大
1043,手下ろし/閉じ/4笑口開け(大
1044,手下ろし/閉じ/5口開け(小
1045,手下ろし/閉じ/6口閉じ(小
1046,手下ろし/閉じ/7微笑口(極小
1047,手下ろし/閉じ/8笑口開け(小
1048,手下ろし/閉じ/9横長口(細
1049,手下ろし/閉じ/10口開け
1050,手下ろし/＞＜/1笑口閉じ
1051,手下ろし/＞＜/2横長口(小
1052,手下ろし/＞＜/3横長口(大
1053,手下ろし/＞＜/4笑口開け(大
1054,手下ろし/＞＜/5口開け(小
1055,手下ろし/＞＜/6口閉じ(小
1056,手下ろし/＞＜/7微笑口(極小
1057,手下ろし/＞＜/8笑口開け(小
1058,手下ろし/＞＜/9横長口(細
1059,手下ろし/＞＜/10口開け

1100,両手胸/素/1笑口閉じ
1101,両手胸/素/2横長口(小
1102,両手胸/素/3横長口(大
1103,両手胸/素/4笑口開け(大
1104,両手胸/素/5口開け(小
1105,両手胸/素/6口閉じ(小
1106,両手胸/素/7微笑口(極小
1107,両手胸/素/8笑口開け(小
1108,両手胸/素/9横長口(細
1109,両手胸/素/10口開け
1110,両手胸/細目/1笑口閉じ
1111,両手胸/細目/2横長口(小
1112,両手胸/細目/3横長口(大
1113,両手胸/細目/4笑口開け(大
1114,両手胸/細目/5口開け(小
1115,両手胸/細目/6口閉じ(小
1116,両手胸/細目/7微笑口(極小
1117,両手胸/細目/8笑口開け(小
1118,両手胸/細目/9横長口(細
1119,両手胸/細目/10口開け
1120,両手胸/極細目/1笑口閉じ
1121,両手胸/極細目/2横長口(小
1122,両手胸/極細目/3横長口(大
1123,両手胸/極細目/4笑口開け(大
1124,両手胸/極細目/5口開け(小
1125,両手胸/極細目/6口閉じ(小
1126,両手胸/極細目/7微笑口(極小
1127,両手胸/極細目/8笑口開け(小
1128,両手胸/極細目/9横長口(細
1129,両手胸/極細目/10口開け
1130,両手胸/笑顔/1笑口閉じ
1131,両手胸/笑顔/2横長口(小
1132,両手胸/笑顔/3横長口(大
1133,両手胸/笑顔/4笑口開け(大
1134,両手胸/笑顔/5口開け(小
1135,両手胸/笑顔/6口閉じ(小
1136,両手胸/笑顔/7微笑口(極小
1137,両手胸/笑顔/8笑口開け(小
1138,両手胸/笑顔/9横長口(細
1139,両手胸/笑顔/10口開け
1140,両手胸/閉じ/1笑口閉じ
1141,両手胸/閉じ/2横長口(小
1142,両手胸/閉じ/3横長口(大
1143,両手胸/閉じ/4笑口開け(大
1144,両手胸/閉じ/5口開け(小
1145,両手胸/閉じ/6口閉じ(小
1146,両手胸/閉じ/7微笑口(極小
1147,両手胸/閉じ/8笑口開け(小
1148,両手胸/閉じ/9横長口(細
1149,両手胸/閉じ/10口開け
1150,両手胸/＞＜/1笑口閉じ
1151,両手胸/＞＜/2横長口(小
1152,両手胸/＞＜/3横長口(大
1153,両手胸/＞＜/4笑口開け(大
1154,両手胸/＞＜/5口開け(小
1155,両手胸/＞＜/6口閉じ(小
1156,両手胸/＞＜/7微笑口(極小
1157,両手胸/＞＜/8笑口開け(小
1158,両手胸/＞＜/9横長口(細
1159,両手胸/＞＜/10口開け

1200,右手手前/素/1笑口閉じ
1201,右手手前/素/2横長口(小
1202,右手手前/素/3横長口(大
1203,右手手前/素/4笑口開け(大
1204,右手手前/素/5口開け(小
1205,右手手前/素/6口閉じ(小
1206,右手手前/素/7微笑口(極小
